札,序列,マーク,数,マーク強さ,色,絵柄,偶奇,ロイヤル,対称,非対称
A♣,A,♣,1,1,黒,False,奇数,True,False,True
2♣,2,♣,2,1,黒,False,偶数,False,True,False
3♣,3,♣,3,1,黒,False,奇数,False,False,True
4♣,4,♣,4,1,黒,False,偶数,False,True,False
5♣,5,♣,5,1,黒,False,奇数,False,False,True
6♣,6,♣,6,1,黒,False,偶数,False,False,True
7♣,7,♣,7,1,黒,False,奇数,False,False,True
8♣,8,♣,8,1,黒,False,偶数,False,True,False
9♣,9,♣,9,1,黒,False,奇数,False,False,True
10♣,10,♣,10,1,黒,False,偶数,True,True,False
J♣,J,♣,11,1,黒,True,奇数,True,True,False
Q♣,Q,♣,12,1,黒,True,偶数,True,True,False
K♣,K,♣,13,1,黒,True,奇数,True,True,False
A♦,A,♦,1,2,赤,False,奇数,True,True,False
2♦,2,♦,2,2,赤,False,偶数,False,True,False
3♦,3,♦,3,2,赤,False,奇数,False,True,False
4♦,4,♦,4,2,赤,False,偶数,False,True,False
5♦,5,♦,5,2,赤,False,奇数,False,True,False
6♦,6,♦,6,2,赤,False,偶数,False,True,False
7♦,7,♦,7,2,赤,False,奇数,False,False,True
8♦,8,♦,8,2,赤,False,偶数,False,True,False
9♦,9,♦,9,2,赤,False,奇数,False,True,False
10♦,10,♦,10,2,赤,False,偶数,True,True,False
J♦,J,♦,11,2,赤,True,奇数,True,True,False
Q♦,Q,♦,12,2,赤,True,偶数,True,True,False
K♦,K,♦,13,2,赤,True,奇数,True,True,False
A♥,A,♥,1,3,赤,False,奇数,True,False,True
2♥,2,♥,2,3,赤,False,偶数,False,True,False
3♥,3,♥,3,3,赤,False,奇数,False,False,True
4♥,4,♥,4,3,赤,False,偶数,False,True,False
5♥,5,♥,5,3,赤,False,奇数,False,False,True
6♥,6,♥,6,3,赤,False,偶数,False,False,True
7♥,7,♥,7,3,赤,False,奇数,False,False,True
8♥,8,♥,8,3,赤,False,偶数,False,True,False
9♥,9,♥,9,3,赤,False,奇数,False,False,True
10♥,10,♥,10,3,赤,False,偶数,True,True,False
J♥,J,♥,11,3,赤,True,奇数,True,True,False
Q♥,Q,♥,12,3,赤,True,偶数,True,True,False
K♥,K,♥,13,3,赤,True,奇数,True,True,False
A♠,A,♠,1,4,黒,False,奇数,True,False,True
2♠,2,♠,2,4,黒,False,偶数,False,True,False
3♠,3,♠,3,4,黒,False,奇数,False,False,True
4♠,4,♠,4,4,黒,False,偶数,False,True,False
5♠,5,♠,5,4,黒,False,奇数,False,False,True
6♠,6,♠,6,4,黒,False,偶数,False,False,True
7♠,7,♠,7,4,黒,False,奇数,False,True,False
8♠,8,♠,8,4,黒,False,偶数,False,True,False
9♠,9,♠,9,4,黒,False,奇数,False,False,True
10♠,10,♠,10,4,黒,False,偶数,True,True,False
J♠,J,♠,11,4,黒,True,奇数,True,True,False
Q♠,Q,♠,12,4,黒,True,偶数,True,True,False
K♠,K,♠,13,4,黒,True,奇数,True,True,False
